'जोश' वो जो कहें करो तस्लीम | फ़ाएदा कुछ भी पेश-ओ-पस में नहीं 
कोई शिकवा तो ज़ेर-ए-लब होगा | कुछ ख़मोशी का भी सबब होगा 
मैं भी हूँ बज़्म में रक़ीब भी है | आख़िरी फ़ैसला तो अब होगा 
आएँ मय-ख़ाने में कभी वाइ'ज़ | हूर भी होगी और सब होगा 
बोल ऐ मेरे दिल की तारीकी | तेरा सूरज तुलूअ' कब होगा 
सुनता होगा सदाएँ उस दिल की | शाम-ए-तन्हाई में वो जब होगा 
कब छटेंगी ये बदलियाँ ग़म की | साफ़ मतला ये 'जोश' कब होगा 
मुमकिन है शब-ए-हिज्र दुआ का न असर हो | है रात वो क्या रात कि जिस की न सहर हो 
ठुकरा के चले जाना है बर-हक़ तुम्हें लेकिन | बस रखना ख़याल इतना जहाँ को न ख़बर हो 
वो शब जो सितारों से भरी हो तो हमें क्या | पहलू में अगर तेरे मिरी शब न बसर हो 
गरजा है बड़े ज़ोर से बादल ज़रा देखो | बिजली से गिरी जिस पे कहीं मेरा न घर हो 
जीवन है सफ़र 'जोश' ये तस्लीम है लेकिन | महबूब का हो साथ तो क्या ख़ूब सफ़र हो 
हम ही ज़र्रे रुस्वाई से | क्या शिकवा हरजाई से 
इश्क़ में आख़िर ख़ार हुए | लाख चले दानाई से 
गिरवीदा करते हैं फूल | रंगों और रानाई से 
मिलते हैं अनमोल रतन | सागर की गहराई से 
झूट के ख़ोल में बैठा हूँ | डरता हूँ सच्चाई से 
'जोश' ने सीखी है पर्वाज़ | सिर्फ़ तिरी अंगड़ाई से 

